,Gender,Ethnicity,Child's First Name
261,FEMALE,WHITE NON HISPANIC,BLIMA
262,FEMALE,WHITE NON HISPANIC,BLIMY
263,FEMALE,WHITE NON HISPANIC,BRACHA
264,FEMALE,WHITE NON HISPANIC,BREINDY
265,FEMALE,WHITE NON HISPANIC,BRIANNA
266,FEMALE,WHITE NON HISPANIC,BRIDGET
267,FEMALE,WHITE NON HISPANIC,BROOKE
268,FEMALE,WHITE NON HISPANIC,BROOKLYN
269,FEMALE,WHITE NON HISPANIC,BRUCHA
270,FEMALE,WHITE NON HISPANIC,BRUCHY
271,FEMALE,WHITE NON HISPANIC,BRYNN
272,FEMALE,WHITE NON HISPANIC,CAITLIN
273,FEMALE,WHITE NON HISPANIC,CAMERON
274,FEMALE,WHITE NON HISPANIC,CAROLINE
275,FEMALE,WHITE NON HISPANIC,CASEY
276,FEMALE,WHITE NON HISPANIC,CATHERINE
277,FEMALE,WHITE NON HISPANIC,CECILIA
278,FEMALE,WHITE NON HISPANIC,CELIA
279,FEMALE,WHITE NON HISPANIC,CHANA
280,FEMALE,WHITE NON HISPANIC,CHANY
281,FEMALE,WHITE NON HISPANIC,CHARLIE
282,FEMALE,WHITE NON HISPANIC,CHARLOTTE
283,FEMALE,WHITE NON HISPANIC,CHAVA
284,FEMALE,WHITE NON HISPANIC,CHAVY
285,FEMALE,WHITE NON HISPANIC,CHAYA
286,FEMALE,WHITE NON HISPANIC,CHLOE
287,FEMALE,WHITE NON HISPANIC,CHRISTINA
288,FEMALE,WHITE NON HISPANIC,CLAIRE
289,FEMALE,WHITE NON HISPANIC,CLARA
290,FEMALE,WHITE NON HISPANIC,COLETTE
291,FEMALE,WHITE NON HISPANIC,CORA
292,FEMALE,WHITE NON HISPANIC,DAHLIA
293,FEMALE,WHITE NON HISPANIC,DAISY
294,FEMALE,WHITE NON HISPANIC,DALIA
295,FEMALE,WHITE NON HISPANIC,DANIELA
296,FEMALE,WHITE NON HISPANIC,DANIELLA
297,FEMALE,WHITE NON HISPANIC,DANIELLE
298,FEMALE,WHITE NON HISPANIC,DEVORA
299,FEMALE,WHITE NON HISPANIC,DEVORAH
300,FEMALE,WHITE NON HISPANIC,DIANA
301,FEMALE,WHITE NON HISPANIC,DINA
302,FEMALE,WHITE NON HISPANIC,DYLAN
303,FEMALE,WHITE NON HISPANIC,EDEN
304,FEMALE,WHITE NON HISPANIC,ELEANOR
305,FEMALE,WHITE NON HISPANIC,ELENA
306,FEMALE,WHITE NON HISPANIC,ELIANA
307,FEMALE,WHITE NON HISPANIC,ELISE
308,FEMALE,WHITE NON HISPANIC,ELISHEVA
309,FEMALE,WHITE NON HISPANIC,ELIZA
310,FEMALE,WHITE NON HISPANIC,ELIZABETH
311,FEMALE,WHITE NON HISPANIC,ELLA
312,FEMALE,WHITE NON HISPANIC,ELLE
313,FEMALE,WHITE NON HISPANIC,ELLIANA
314,FEMALE,WHITE NON HISPANIC,ELLIE
315,FEMALE,WHITE NON HISPANIC,ELOISE
316,FEMALE,WHITE NON HISPANIC,EMERSON
317,FEMALE,WHITE NON HISPANIC,EMILIA
318,FEMALE,WHITE NON HISPANIC,EMILY
319,FEMALE,WHITE NON HISPANIC,EMMA
320,FEMALE,WHITE NON HISPANIC,ERIN
321,FEMALE,WHITE NON HISPANIC,ESTER
322,FEMALE,WHITE NON HISPANIC,ESTHER
323,FEMALE,WHITE NON HISPANIC,ESTY
324,FEMALE,WHITE NON HISPANIC,ETTY
325,FEMALE,WHITE NON HISPANIC,EVA
326,FEMALE,WHITE NON HISPANIC,EVE
327,FEMALE,WHITE NON HISPANIC,EVELYN
328,FEMALE,WHITE NON HISPANIC,FAIGA
329,FEMALE,WHITE NON HISPANIC,FAIGY
330,FEMALE,WHITE NON HISPANIC,FINLEY
331,FEMALE,WHITE NON HISPANIC,FIONA
332,FEMALE,WHITE NON HISPANIC,FRADEL
333,FEMALE,WHITE NON HISPANIC,FRAIDY
334,FEMALE,WHITE NON HISPANIC,FRANCESCA
335,FEMALE,WHITE NON HISPANIC,FRIMET
336,FEMALE,WHITE NON HISPANIC,GABRIELA
